File Name,Attribute,Delimiter,Data Type,Related Values,Documented Data Description,Screen ID,Fld,Screen Title,PADP Label,Field Label,Validation File,PADP Table,PADP Column,Personally Identifiable Information,File Notes,,,,,
ACC.CLASS.TYPES,0.0,,X,,Account class type code - 1 2 3 4 5,,,,Account class type,Account class type,,acc_class_types,,,,Audit File,,,,
ACC.CLASS.TYPES,1.0,,X,,Description,,,,Description,Description,,acc_class_types,description,,,Array,,,,
ACC.CLASS.TYPES,2.0,,B,,"Public/Private flag; 0=public,1=private",,,,Public 0/Private 1,Public/Private,,acc_class_types,public_0_private_1,,,Not Extracted,,,,
ACCIDENT-TYPES,0.0,,X,,Accident Type Code,EMG2.S16,1,Trauma Category,Trauma Category,Trauma Category,,accident_types,,,,Reference File,,,,
ACCIDENT-TYPES,1.0,,A,M,"Date, Time, Who, Operator",EMG2.S16,,,Filed,Filed,OPERATORS,accident_types,filed,,,,,,,
ACCIDENT-TYPES,2.0,,X,,Description,EMG2.S16,2,Trauma Category,Description,Description,,accident_types,description,,,,,,,
ACCOM-CODE,0.0,,X,,User Defined Code,EAS2.S6,1,ACCOMODATION CODES,Accomodation Code,Accomodation Code,,accom_code,,,,,,,,
ACCOM-CODE,1.0,,X,,User Defined Description for the  Code (Description),EAS2.S6,2,ACCOMODATION CODES,Description,Description,,accom_code,description,,,,,,,
ACCOM-CODE,2.0,,A,M,"Date,Time,Who,Operator",EAS2.S6,,ACCOMODATION CODES,Filed,Filed,OPERATORS,accom_code,filed,,,,,,,
ACCOM-CODE,3.0,,D,,Start Date,EAS2.S6,4,ACCOMODATION CODES,Start Date,Start Date,,accom_code,start_date,,,,,,,
ACCOM-CODE,4.0,,D,,End Date,EAS2.S6,5,ACCOMODATION CODES,End Date,End Date,,accom_code,end_date,,,,,,,
ACCOM-CODE,5.0,,X,M,Replaced Code,EAS2.S6,6,ACCOMODATION CODES,Replaced Code,Replaced Code,ACCOM-CODE,accom_code,replaced_code,,,,,,,
ACCOM-CODE,6.0,,X,M,Replaced By Code,,,,Replaced By Code,Replaced By Code,ACCOM-CODE,accom_code,replaced_by_code,,,,,,,
ACCOM-CODE,7.0,,N,,"Accomodation Status (1= Eligible Public, 2 = Other",EAS2.S6,3,ACCOMODATION CODES,Accomodation Status,Accomodation Status,,accom_code,accomodation_status,,,,,,,
ACCOUNTING-PERIODS,0.0,,X,,Financial Year,GLS2.S145,1,FINANCIAL PERIODS,Financial Year,Financial Year,,accounting_periods,,,Reference File,,,,,
ACCOUNTING-PERIODS,1.0,,A,M,Date and Time stamp,GLS2.S145,,FINANCIAL PERIODS,Filed,Filed,OPERATORS,accounting_periods,filed,,Reference File,,,,,
ACCOUNTING-PERIODS,2.0,,D,,Start date of financial year,GLS2.S145,3,FINANCIAL PERIODS,Start of Financial Year,Start of Financial Year,,accounting_periods,start_of_financial_year,,Reference File,,,,,
ACCOUNTING-PERIODS,3.0,,D,M1,End dates of financial periods,GLS2.S145,5,FINANCIAL PERIODS,Period End Date,Period End Date,,accounting_periods,period_end_date,,Reference File,,,,,
ACCOUNTING-PERIODS,4.0,,X,M1,Descriptions of financial periods,GLS2.S145,4,FINANCIAL PERIODS,Description,Description,,accounting_periods,description,,Reference File,,,,,
ACCOUNTS,0.0,,X,,Account code,GLS2.S9,1,ACCOUNT ITEMS,Account Item,Account Item,,accounts,,,Reference File,,,,,
ACCOUNTS,1.0,,A,M,Date and Time Stamp,GLS2.S9,,ACCOUNT ITEMS,Filed,Filed,OPERATORS,accounts,filed,,Reference File,,,,,
ACCOUNTS,2.0,,X,,Description,GLS2.S9,2,ACCOUNT ITEMS,Description,Description,,accounts,description,,Reference File,,,,,
ACCOUNTS,3.0,,D,,Closure Date,GLS2.S9,3,ACCOUNT ITEMS,Closure Date,Closure Date,,accounts,closure_date,,Reference File,,,,,
ACCOUNTS,4.0,,X,M,Store Types (SUPPLY),,,,Store Type,Store Type,STORE-TYPE,accounts,store_type,,Reference File,,,,,
ACCRUALS,0.0,,X,,Accrual id.,GLS2.S128,1,ACCRUALS,Reference,Reference,,accruals,,,Reference File,C,,,,
ACCRUALS,1.0,,A,M,Date and Time Stamp,GLS2.S128,,ACCRUALS,Filed,Filed,OPERATORS,accruals,filed,,Reference File,,,,,
ACCRUALS,2.0,,D,,Accrual Date,GLS2.S128,3,ACCRUALS,Date Raised,Date Raised,,accruals,date_raised,,Reference File,,,,,
ACCRUALS,3.0,,X,,Ledger Account debited,GLS2.S128,4,ACCRUALS,"Entity,Cost Centre,Account","Entity,Cost Centre,Account",LEDGER,accruals,entity_cost_centre_account3,,Reference File,,,,,
ACCRUALS,4.0,,X,,Ledger Account credited,GLS2.S128,8,ACCRUALS,"Entity,Cost Centre,Account","Entity,Cost Centre,Account",LEDGER,accruals,entity_cost_centre_account4,,Reference File,,,,,
ACCRUALS,5.0,,N2,,Monthly (Period) accrual amount,GLS2.S128,11,ACCRUALS,CR Amount,CR Amount,,accruals,cr_amount,,Reference File,,,,,
ACCRUALS,6.0,,N,,Start of Accrual - Starting Year,GLS2.S128,12,ACCRUALS,Start   Year,Start   Year,ACCOUNTING-PERIODS,accruals,start_year,,Reference File,,,,,
ACCRUALS,7.0,,N,,Start of Accrual - Starting Period,GLS2.S128,13,ACCRUALS,Start   Period,Start   Period,,accruals,start_period,,Reference File,,,,,
ACCRUALS,8.0,,N,,End of Accrual - Ending Year,GLS2.S128,14,ACCRUALS,End     Year,End     Year,ACCOUNTING-PERIODS,accruals,end_year,,Reference File,,,,,
ACCRUALS,9.0,,X,,Narration,GLS2.S128,18,ACCRUALS,Narration,Narration,,accruals,narration,,Reference File,,,,,
ACCRUALS,10.0,,X,M1,Credtrans item ID's created by transaction,GLS2.S128,,,Transaction ID,Transaction ID,CREDTRANS,accruals,transaction_id,,Reference File,C,,,,
